frame,time_s,status,wrist_x,wrist_y,wrist_z,shoulder_vis,elbow_vis,wrist_vis,shoulder_yaw,shoulder_pitch,elbow_flex,torso_yaw,torso_ok,target_j1,target_j2,target_j3,target_j4,target_j5,target_j6,actual_j1,actual_j2,actual_j3,actual_j4,actual_j5,actual_j6
270,1768672042.2378829,Pose: tracking,0.027084173634648323,1.3427948951721191,-0.519132673740387,0.9942805767059326,0.5441480278968811,0.5606014728546143,0.13102843190928026,-0.939841003828025,0.6482328347570592,-0.551667566199592,0,-0.842017112811688,2.4412385893610207,-0.6270737469208171,0.0,0.0,0.0,0.014163810266440362,0.25108426020357844,-0.44180877698605225,-8.937655572133335e-05,-0.0051836466148851975,-4.0561837644915676e-05
275,1768672042.449507,Pose: tracking,0.02642463892698288,1.2406303882598877,-0.4720398187637329,0.989493727684021,0.40914228558540344,0.4299972951412201,-0.37241928955876075,-1.231024169888259,1.0022000916590188,-0.2032133743270481,0,-0.3586489253734205,2.789206801775501,-1.053854441856958,0.0,0.0,0.0,0.014147168403504674,0.27591446423691823,-0.5492569479663101,-8.219155182339315e-05,-0.004759649569801054,-3.634157393898691e-05
280,1768672042.664938,Pose: tracking,0.005804248619824648,1.4107388257980347,-0.3452179729938507,0.9885154962539673,0.3872299790382385,0.41631439328193665,-0.5850815730925321,-1.4396602701720218,0.9608865139448977,-0.6878085170841176,0,-0.819858050564218,2.5358410610662436,-1.0236253979081402,0.0,0.0,0.0,0.014136411955417786,0.2629389096454789,-0.6414579959071608,-8.44640959569603e-05,-0.004898300523486309,-3.712407139774687e-05
285,1768672042.871669,Pose: tracking,0.10766283422708511,0.49420979619026184,-0.5348399877548218,0.9823481440544128,0.5406926274299622,0.5103678107261658,0.3490209548385218,0.19098652425401,0.6422379461103214,-0.5175965934811737,0,-0.6140100056069517,1.3803045283726494,-0.7319250733664243,0.0,0.0,0.0,0.014122350327078592,0.21867780882275942,-0.7067977427029957,-8.891980732941028e-05,-0.005166059749378932,-3.905651035160857e-05
290,1768672043.042347,Pose: tracking,-0.0178466085344553,0.7257893681526184,-1.488718867301941,0.9801109433174133,0.6112716197967529,0.5890549421310425,0.5010242835634754,-0.26842838359407456,0.4627106862484296,-0.7761386931756944,0,-1.1370870952095462,1.8358122601182418,-0.5194784408784724,0.0,0.0,0.0,0.01409744970669536,0.21913871915700997,-0.6875033874102835,-9.352024437260124e-05,-0.005449612929989364,-4.256562273685218e-05
295,1768672043.2608159,Pose: tracking,0.12066857516765594,0.7190503478050232,-1.0594327449798584,0.9824654459953308,0.6882078647613525,0.5694727897644043,-0.8260858018342856,-1.930995978400924,1.195574131280335,0.22525726730137463,0,0.32823308068693857,0.9345128584563102,-1.7194784408784725,0.0,0.0,0.0,0.014095115546088855,0.18152077629437915,-0.8681671049680195,-6.22371349870091e-05,-0.003581162703925641,-2.5192810915172883e-05
300,1768672043.427257,Pose: tracking,-0.012275324203073978,1.0794118642807007,-1.4772239923477173,0.9853226542472839,0.6652035117149353,0.5542111992835999,0.06806656650724396,-0.6216243306135795,0.747979573645559,-0.5205952484159007,0,-0.6690130081183915,2.1635524906235286,-1.3194784408784725,0.0,0.0,0.0,0.0140896634082074,0.21908228041843042,-1.0386694765912021,-8.007172146429286e-05,-0.00465944755517404,-3.581009129309646e-05
305,1768672043.6073558,Pose: tracking,0.15404976904392242,0.7276090979576111,-1.5201137065887451,0.9877783060073853,0.6788516044616699,0.6362326145172119,-0.5586890527485429,-0.47167797520243454,0.591460050053978,0.5224400795269375,0,0.6457897964500022,2.0590182322039094,-0.6680430570111743,0.0,0.0,0.0,0.014079433897061965,0.24082534073665837,-1.0263633070548723,-8.568253870759744e-05,-0.004999026094463552,-3.955870520848227e-05
310,1768672043.792526,Pose: tracking,0.05486014112830162,0.8768540024757385,-0.8986625671386719,0.9877108335494995,0.6977522969245911,0.7090856432914734,0.20840966258702767,-0.24721767594149235,0.3619155928519149,-0.2869863251558633,0,-0.3992233082090662,1.8529982650769234,-0.4281728066053383,0.0,0.0,0.0,0.014081569548408609,0.23099209329117815,-0.9244057730102558,-8.150793093258844e-05,-0.004753075870634442,-3.79071717837195e-05
315,1768672043.958265,Pose: tracking,0.050604142248630524,0.7930244207382202,-1.5086467266082764,0.9887725114822388,0.7043871283531189,0.779369592666626,-0.5712894157581763,-0.4501300722249467,0.49750438742414715,0.39314799778999343,0,0.330045860362674,1.9933582714040092,-0.55183400838929,0.0,0.0,0.0,0.014071214337682568,0.23881822021141547,-0.8643645391334764,-7.353072142414092e-05,-0.004278370363278988,-3.3620315668973654e-05
320,1768672044.136471,Pose: tracking,0.08105532824993134,0.7394803166389465,-1.5159403085708618,0.9906356930732727,0.7751106023788452,0.8509765863418579,-0.5575437863389706,-0.40060652511145284,0.5468568826175164,0.36971104303239155,0,0.5524941582775684,1.9694244319437102,-0.5976026249763029,0.0,0.0,0.0,0.014080952051312616,0.2364271332083477,-0.8020895424685707,-7.013682321351146e-05,-0.004076391465183165,-3.179169594381722e-05
325,1768672044.313303,Pose: tracking,0.030444128438830376,0.8265876770019531,-1.6506760120391846,0.9888845086097717,0.7673609852790833,0.870856523513794,-0.5641860066047186,-0.5018497140163433,0.5142070723824923,0.3891409707501132,0,0.5499545168449225,2.0385559794486436,-0.5615638345423695,0.0,0.0,0.0,0.01408939795276033,0.23484570956559125,-0.7538033397729215,-7.05673147290276e-05,-0.004102202186688324,-3.17510541335763e-05
330,1768672044.489598,Pose: tracking,0.09313692897558212,1.13529634475708,-1.3025604486465454,0.9925313591957092,0.7169206738471985,0.7790114283561707,-0.15502803900259188,-0.510032363137864,0.6187255572375454,-0.04818233055811039,0,0.04132510303293807,2.081590431512893,-0.6665451718618882,0.0,0.0,0.0,0.014099324267340629,0.2439938332598667,-0.7352867147542766,-6.860184935164066e-05,-0.00398287301509914,-3.03940346129186e-05
